附件1：,,,
全国普通高等学校名单,,,
序号,学校名称,所在地,
549,吉林师范大学博达学院,四平市,
550,长春大学旅游学院,长春市,
551,东北师范大学人文学院,长春市,
552,吉林医药学院,吉林市,
553,长春师范高等专科学校,长春市,
554,辽源职业技术学院,辽源市,
555,四平职业大学,四平市,
556,长春汽车工业高等专科学校,长春市,
557,长春金融高等专科学校,长春市,
558,长春医学高等专科学校,长春市,
559,吉林交通职业技术学院,长春市,
560,长春东方职业学院,长春市,
561,吉林司法警官职业学院,长春市,
562,吉林电子信息职业技术学院,吉林市,
563,吉林工业职业技术学院,吉林市,
564,吉林工程职业学院,四平市,
565,长春职业技术学院,长春市,
566,白城医学高等专科学校,白城市,
567,长春信息技术职业学院,长春市,
568,松原职业技术学院,松原市,
569,吉林铁道职业技术学院,吉林市,
570,白城职业技术学院,白城市,
571,长白山职业技术学院,白山市,
572,吉林科技职业技术学院,长春市,
573,延边职业技术学院,延边朝鲜族自治州,
574,吉林城市职业技术学院,长春市,
575,吉林职业技术学院,延边朝鲜族自治州,
黑龙江省（82所）,,,
576,黑龙江大学,哈尔滨市,
577,哈尔滨工业大学,哈尔滨市,
578,哈尔滨理工大学,哈尔滨市,
579,哈尔滨工程大学,哈尔滨市,
580,黑龙江科技大学,哈尔滨市,
581,东北石油大学,大庆市,
582,佳木斯大学,佳木斯市,
583,黑龙江八一农垦大学,大庆市,
584,东北农业大学,哈尔滨市,
585,东北林业大学,哈尔滨市,
586,哈尔滨医科大学,哈尔滨市,
587,黑龙江中医药大学,哈尔滨市,
588,牡丹江医学院,牡丹江市,
589,哈尔滨师范大学,哈尔滨市,
590,齐齐哈尔大学,齐齐哈尔市,
591,牡丹江师范学院,牡丹江市,
592,哈尔滨学院,哈尔滨市,
593,大庆师范学院,大庆市,
594,绥化学院,绥化市,
595,哈尔滨商业大学,哈尔滨市,
596,哈尔滨体育学院,哈尔滨市,
597,哈尔滨金融学院,哈尔滨市,
598,齐齐哈尔医学院,齐齐哈尔市,
599,黑龙江工业学院,鸡西市,
600,黑龙江东方学院,哈尔滨市,
601,哈尔滨信息工程学院,哈尔滨市,
602,黑龙江工程学院,哈尔滨市,
603,齐齐哈尔工程学院,齐齐哈尔市,
604,黑龙江外国语学院,哈尔滨市,
605,黑龙江财经学院,哈尔滨市,
606,哈尔滨石油学院,哈尔滨市,
607,黑龙江工商学院,哈尔滨市,
608,哈尔滨远东理工学院,哈尔滨市,
609,哈尔滨剑桥学院,哈尔滨市,
610,黑龙江工程学院昆仑旅游学院,哈尔滨市,
611,哈尔滨广厦学院,哈尔滨市,
612,哈尔滨华德学院,哈尔滨市,
613,黑河学院,黑河市,
614,哈尔滨音乐学院,哈尔滨市,
615,齐齐哈尔高等师范专科学校,齐齐哈尔市,
616,伊春职业学院,伊春市,
617,牡丹江大学,牡丹江市,
618,黑龙江职业学院,哈尔滨市,
619,黑龙江建筑职业技术学院,哈尔滨市,
620,黑龙江艺术职业学院,哈尔滨市,
621,大庆职业学院,大庆市,
622,黑龙江林业职业技术学院,牡丹江市,
623,黑龙江农业职业技术学院,佳木斯市,
624,黑龙江农业工程职业学院,哈尔滨市,
625,黑龙江农垦职业学院,哈尔滨市,
626,黑龙江司法警官职业学院,哈尔滨市,
627,鹤岗师范高等专科学校,鹤岗市,
628,哈尔滨电力职业技术学院,哈尔滨市,
629,哈尔滨铁道职业技术学院,哈尔滨市,
630,大兴安岭职业学院,大兴安岭地区,
631,黑龙江农业经济职业学院,牡丹江市,
632,哈尔滨职业技术学院,哈尔滨市,
633,哈尔滨传媒职业学院,哈尔滨市,
634,黑龙江生物科技职业学院,哈尔滨市,
635,黑龙江商业职业学院,牡丹江市,
636,黑龙江公安警官职业学院,哈尔滨市,
637,黑龙江信息技术职业学院,哈尔滨市,
638,哈尔滨江南职业技术学院,哈尔滨市,
639,黑龙江农垦科技职业学院,哈尔滨市,
640,黑龙江旅游职业技术学院,哈尔滨市,
641,黑龙江三江美术职业学院,佳木斯市,
642,黑龙江生态工程职业学院,哈尔滨市,
643,黑龙江煤炭职业技术学院,双鸭山市,
644,七台河职业学院,七台河市,
645,黑龙江民族职业学院,哈尔滨市,
646,大庆医学高等专科学校,大庆市,
647,黑龙江交通职业技术学院,齐齐哈尔市,
648,哈尔滨应用职业技术学院,哈尔滨市,
649,黑龙江幼儿师范高等专科学校,牡丹江市,
650,哈尔滨科学技术职业学院,哈尔滨市,
